# name|return_type|param_name:type,param_name:type
ARPHRD_FRAD|int|void
ARPHRD_HDLC|int|void
ARPHRD_HIPPI|int|void
ARPHRD_HWX25|int|void
ARPHRD_IEEE1394|int|void
ARPHRD_IEEE80211_PRISM|int|void
ARPHRD_IEEE80211_RADIOTAP|int|void
ARPHRD_IEEE80211|int|void
ARPHRD_IEEE802154_PHY|int|void
ARPHRD_IEEE802154|int|void
ARPHRD_IEEE802_TR|int|void
ARPHRD_IEEE802|int|void
ARPHRD_INFINIBAND|int|void
ARPHRD_IPDDP|int|void
ARPHRD_IPGRE|int|void
ARPHRD_IRDA|int|void
ARPHRD_LAPB|int|void
ARPHRD_LOCALTLK|int|void
ARPHRD_LOOPBACK|int|void
ARPHRD_METRICOM|int|void
ARPHRD_NETROM|int|void
ARPHRD_NONE|int|void
ARPHRD_PIMREG|int|void
ARPHRD_PPP|int|void
ARPHRD_PRONET|int|void
ARPHRD_RAWHDLC|int|void
ARPHRD_ROSE|int|void
ARPHRD_RSRVD|int|void
ARPHRD_SIT|int|void
ARPHRD_SKIP|int|void
ARPHRD_SLIP6|int|void
ARPHRD_SLIP|int|void
ARPHRD_TUNNEL6|int|void
ARPHRD_TUNNEL|int|void
ARPHRD_VOID|int|void
ARPHRD_X25|int|void
ARPOP_InREPLY|int|void
ARPOP_InREQUEST|int|void
ARPOP_NAK|int|void
ARPOP_REPLY|int|void
ARPOP_REQUEST|int|void
ARPOP_RREPLY|int|void
ARPOP_RREQUEST|int|void
ASIdOrRange_free|void|a:int
ASIdOrRange_id|int|void
ASIdOrRange_new|int|void
ASIdOrRange_range|int|void
ASIdOrRange_st|int|param1694498816:int
ASIdentifierChoice_asIdsOrRanges|int|void
ASIdentifierChoice_free|void|a:int
ASIdentifierChoice_inherit|int|void
ASIdentifierChoice_new|int|void
ASIdentifierChoice_st|int|param1701987176:int
ASIdentifiers_free|void|a:int
ASIdentifiers_new|int|void
ASIdentifiers_st|int|param1701999360:int
ASN1_ADB_TABLE_st|int|param1094863941:int
ASN1_ADB_st|int|param0:int
ASN1_AFLG_BROKEN|int|void
ASN1_AFLG_ENCODING|int|void
ASN1_AFLG_REFCOUNT|int|void
ASN1_AUX_st|int|param0:int
ASN1_BAD_FORMAT|int|void
ASN1_BAD_GMTIME|int|void
ASN1_BAD_ID|int|void
ASN1_BAD_LENGTH|int|void
ASN1_BAD_TIMEFORMAT|int|void
ASN1_BIT_STRING_check|int|a:int,flags:int,flags_len:int
ASN1_BIT_STRING_free|void|a:int
ASN1_BIT_STRING_get_bit|int|a:int,n:int
ASN1_BIT_STRING_name_print|int|out:int,bs:int,tbl:int,indent:int
ASN1_BIT_STRING_new|int|void
ASN1_BIT_STRING_num_asc|int|name:int,tbl:int
ASN1_BIT_STRING_set_asc|int|bs:int,name:int,value:int,tbl:int
ASN1_BIT_STRING_set_bit|int|a:int,n:int,value:int
ASN1_BIT_STRING_set|int|a:int,d:int,length:int
ASN1_BMPSTRING_free|void|a:int
ASN1_BMPSTRING_new|int|void
ASN1_COMPAT_FUNCS_st|int|param1415530069:int
ASN1_ENCODING_st|int|param1229866752:int
ASN1_ENUMERATED_free|void|a:int
ASN1_ENUMERATED_get|long|a:int
ASN1_ENUMERATED_new|int|void
ASN1_ENUMERATED_set|int|a:int,v:long
ASN1_ENUMERATED_to_BN|int|ai:int,bn:int
ASN1_EXTERN_FUNCS_st|int|param1314866773:int
ASN1_F_A2D_ASN1_OBJECT|int|void
ASN1_F_A2I_ASN1_ENUMERATED|int|void
ASN1_F_A2I_ASN1_INTEGER|int|void
ASN1_F_A2I_ASN1_STRING|int|void
ASN1_F_APPEND_EXP|int|void
ASN1_F_ASN1_BIT_STRING_SET_BIT|int|void
ASN1_F_ASN1_CB|int|void
ASN1_F_ASN1_CHECK_TLEN|int|void
ASN1_F_ASN1_COLLATE_PRIMITIVE|int|void
ASN1_F_ASN1_COLLECT|int|void
ASN1_F_ASN1_D2I_EX_PRIMITIVE|int|void
ASN1_F_ASN1_D2I_FP|int|void
ASN1_F_ASN1_D2I_READ_BIO|int|void
ASN1_F_ASN1_DIGEST|int|void
ASN1_F_ASN1_DO_ADB|int|void
ASN1_F_ASN1_DUP|int|void
ASN1_F_ASN1_ENUMERATED_SET|int|void
ASN1_F_ASN1_ENUMERATED_TO_BN|int|void
ASN1_F_ASN1_EX_C2I|int|void
ASN1_F_ASN1_FIND_END|int|void
ASN1_F_ASN1_GENERALIZEDTIME_ADJ|int|void
ASN1_F_ASN1_GENERALIZEDTIME_SET|int|void
ASN1_F_ASN1_GENERATE_V3|int|void
ASN1_F_ASN1_GET_OBJECT|int|void
ASN1_F_ASN1_HEADER_NEW|int|void
ASN1_F_ASN1_I2D_BIO|int|void
ASN1_F_ASN1_I2D_FP|int|void
ASN1_F_ASN1_INTEGER_SET|int|void
ASN1_F_ASN1_INTEGER_TO_BN|int|void
ASN1_F_ASN1_ITEM_D2I_FP|int|void
ASN1_F_ASN1_ITEM_DUP|int|void
ASN1_F_ASN1_ITEM_EX_COMBINE_NEW|int|void
ASN1_F_ASN1_ITEM_EX_D2I|int|void
ASN1_F_ASN1_ITEM_I2D_BIO|int|void
ASN1_F_ASN1_ITEM_I2D_FP|int|void
ASN1_F_ASN1_ITEM_PACK|int|void
ASN1_F_ASN1_ITEM_SIGN_CTX|int|void
ASN1_F_ASN1_ITEM_SIGN|int|void
ASN1_F_ASN1_ITEM_UNPACK|int|void
ASN1_F_ASN1_ITEM_VERIFY|int|void
ASN1_F_ASN1_MBSTRING_NCOPY|int|void
ASN1_F_ASN1_OBJECT_NEW|int|void
ASN1_F_ASN1_OUTPUT_DATA|int|void
ASN1_F_ASN1_PACK_STRING|int|void
ASN1_F_ASN1_PCTX_NEW|int|void
ASN1_F_ASN1_PKCS5_PBE_SET|int|void
ASN1_F_ASN1_SEQ_PACK|int|void
ASN1_F_ASN1_SEQ_UNPACK|int|void
ASN1_F_ASN1_SIGN|int|void
ASN1_F_ASN1_STR2TYPE|int|void
ASN1_F_ASN1_STRING_SET|int|void
ASN1_F_ASN1_STRING_TABLE_ADD|int|void
ASN1_F_ASN1_STRING_TYPE_NEW|int|void
ASN1_F_ASN1_TEMPLATE_EX_D2I|int|void
ASN1_F_ASN1_TEMPLATE_NEW|int|void
ASN1_F_ASN1_TEMPLATE_NOEXP_D2I|int|void
ASN1_F_ASN1_TIME_ADJ|int|void
ASN1_F_ASN1_TIME_SET|int|void
ASN1_F_ASN1_TYPE_GET_INT_OCTETSTRING|int|void
ASN1_F_ASN1_TYPE_GET_OCTETSTRING|int|void
ASN1_F_ASN1_UNPACK_STRING|int|void
ASN1_F_ASN1_UTCTIME_ADJ|int|void
ASN1_F_ASN1_UTCTIME_SET|int|void
ASN1_F_ASN1_VERIFY|int|void
ASN1_F_B64_READ_ASN1|int|void
ASN1_F_B64_WRITE_ASN1|int|void
ASN1_F_BIO_NEW_NDEF|int|void
ASN1_F_BITSTR_CB|int|void
ASN1_F_BN_TO_ASN1_ENUMERATED|int|void
ASN1_F_BN_TO_ASN1_INTEGER|int|void
ASN1_F_C2I_ASN1_BIT_STRING|int|void
ASN1_F_C2I_ASN1_INTEGER|int|void
ASN1_F_C2I_ASN1_OBJECT|int|void
ASN1_F_COLLECT_DATA|int|void
ASN1_F_D2I_ASN1_BIT_STRING|int|void
ASN1_F_D2I_ASN1_BOOLEAN|int|void
ASN1_F_D2I_ASN1_BYTES|int|void
ASN1_F_D2I_ASN1_GENERALIZEDTIME|int|void
ASN1_F_D2I_ASN1_HEADER|int|void
ASN1_F_D2I_ASN1_INTEGER|int|void
ASN1_F_D2I_ASN1_OBJECT|int|void
ASN1_F_D2I_ASN1_SET|int|void
ASN1_F_D2I_ASN1_TYPE_BYTES|int|void
ASN1_F_D2I_ASN1_UINTEGER|int|void
ASN1_F_D2I_ASN1_UTCTIME|int|void
ASN1_F_D2I_AUTOPRIVATEKEY|int|void
ASN1_F_D2I_NETSCAPE_RSA_2|int|void
ASN1_F_D2I_NETSCAPE_RSA|int|void
ASN1_F_D2I_PRIVATEKEY|int|void
ASN1_F_D2I_PUBLICKEY|int|void
ASN1_F_D2I_RSA_NET_2|int|void
ASN1_F_D2I_RSA_NET|int|void
ASN1_F_D2I_X509_CINF|int|void
ASN1_F_D2I_X509_PKEY|int|void
ASN1_F_D2I_X509|int|void
ASN1_F_I2D_ASN1_BIO_STREAM|int|void
ASN1_F_I2D_ASN1_SET|int|void
ASN1_F_I2D_ASN1_TIME|int|void
ASN1_F_I2D_DSA_PUBKEY|int|void
ASN1_F_I2D_EC_PUBKEY|int|void
ASN1_F_I2D_PRIVATEKEY|int|void
ASN1_F_I2D_PUBLICKEY|int|void
ASN1_F_I2D_RSA_NET|int|void
ASN1_F_I2D_RSA_PUBKEY|int|void
